TOPIC,CONTENT,DESCRIPTION
Summer Sips,"Mango Mojito: Sweet, Fruity, Mango Sip!
Green Apple Mojito: Refreshing, Chill, Green Sip!
Strawberry Mojito: Sparkling, Spritzer, Berry Sip!
Virgin Mojito: Refreshing, Tart, Mojito Sip!
Watermelon Mojito: Blend, Squeeze, Sip!
Blue Ocean Mojito: Tropical, Calming, Oceanic!
 -the brand chimp
","An animated video to be curated to stay cool this summer with our most delicious and refreshing mocktails with a catchy caption added to it.
 -the brand chimp
"
Tea Tome TIme," One Two Tea

","A creative designed depicting good book with a cup of tea. 
The perfect duo for a cozy, relaxing escape."""
Chai Joy ,"Sad me + One Two Tea ki special chai = Happy me

","One cup of one two tea ki Chai is all it takes to make you feel completely happy, "
Flavors of Chai,"Ginger Tea
Masala Tea
Elachi Tea
Bellam Tea
Badam Tea
 
",An animated video to be curated featuring varities of chai.
Morning Lift," Lemon Tea

","A creative to be designed how chai boost to kickstart your day to revitalize your mind and body!
"
"""Tea-Date""","HIBISCUS TEA
GREEN TEA!

","A creative will be created that demonstrates how Tea lovers can unwind with our energising tea.
 -the brand chimp
"
Let's Unwrap,"Peri Peri Chicken Burger
Zinger Chicken Burger
Chicken Burger
","An animated video to be curated showcasing the deliciousness of our Burgers.
 -the brand chimp
"
Mothers day,"caption:
""Chai-derful Mom Deserves the Best Brew on Mother's Day!""","A creative to be designed wishing  our audiences a Happy Mother's Day!
 -the brand chimp
"
Bite Bliss,"French fries
veg Nuggets
Cheese Balls
and an elements of sauce and cheese beside..
","A creative to be designed featuring the three TidBits -French fries, Veg Nuggets, Cheese Balls served as a  combo.
 -the brand chimp
"
Crunchy Chicken Delight,"Chicken Lollipop
Peri Peri french fries
Virgin Mojito
 
","A creative to be designed featuring the mentioned snack and posted with a catchy liner added to it
"
Herbal Tea Heaven (R),"GREEN TEA
TULASI TEA
GREEN AMLA MINT TEA
HIBISCUS TEA
","An animated video to be curated featuring all the Herbal Tea served.
 -the brand chimp
"
Soda Har-Bar,"Soda HAR-BAR
CHOOSE YOUR SODA- BUDDY
BLUEBERRY -PERI PERI FRENCH FRIES
ORANGE -PANEER POPCORN
MASALA -CHICKEN STRIPS
","A creative to be designed featuring 3 Snacks with Refreshing sodas and a catchy liner added to it
 -the brand chimp
"
Cup Cheers,"TEA IS ALWAYS 
A GOOD IDEA!","A creative that illustrates how Chai is always a good idea .
 -the brand chimp
"
